"title","img_url","youtube_id"
"Shawshank Redemption, The (1994)","https://m.media-amazon.com/images/M/MV5BMGY2ODBmZTItOGIyZi00NjAxLTk2NWUtMGE1ZjcxN2QxMjY2XkEyXkFqcGc@._V1_.jpg","NmzuHjWmXOc"
"Forrest Gump (1994)","https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSgJaxEFJxdwh2SP1sAI92IQgaThjvJM6XSd1G2YEEqVwjqNnVF","bLvqoHBptjg"
"Four Weddings and a Funeral (1994)","https://m.media-amazon.com/images/M/MV5BMTMyNzg2NzgxNV5BMl5BanBnXkFtZTcwMTcxNzczNA@@._V1_FMjpg_UX1000_.jpg","g-HeV8Z6iXc"
"Fugitive, The (1993)","https://m.media-amazon.com/images/M/MV5BMmM4ODRlZDUtMDhkNS00OTI0LTgxZTMtZmYzZjMyZDYyMGMxXkEyXkFqcGdeQXVyNDI3NjU1NzQ@._V1_.jpg","ETPVU0acnrE"
"Jurassic Park (1993)","https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSVvdES4O7zcoqcxElrT5cy33kFcDe4a20EzyB91x24yYMReIpy","QWBKEmWWL38"
"Blade Runner (1982)","https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTcvek3p12Gwqwk-2wjTSHWTNq0LTTeoOgXUwqerVOY2u9zjOgO","eogpIG53Cis"
"Terminator 2: Judgment Day (1991)","https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQue5mh-aTESEbF3YMryjyhPtEnM0hUtAn7NF3CplUXi68TFp1H","CRRlbK5w8AE"
"Dances with Wolves (1990)","https://m.media-amazon.com/images/I/9158DcjABuL._AC_UF894,1000_QL80_.jpg","uc8NMbrWw_M"
"Silence of the Lambs, The (1991)","https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg","W6Mm8Sbe__o"
"Fargo (1996)","https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ8auiVHTDPMII_eOb_FNyEeQuEuofclYZR1nU_mytMQmR4AOdC","XBhuazj_d1s"
"Truth About Cats & Dogs, The (1996)","https://m.media-amazon.com/images/M/MV5BOWM0MTA4NjItMzM3ZS00NDJmLTg3NWItNGE5ODIyOGJhNzQ0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg","6nFJcAt-ktU"
"Rock, The (1996)","https://m.media-amazon.com/images/M/MV5BZDJjOTE0N2EtMmRlZS00NzU0LWE0ZWQtM2Q3MWMxNjcwZjBhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_FMjpg_UX1000_.jpg","a3qcNyjj9ZQ"
"Twister (1996)","https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQGx9moDXBoztbHSld6Lkfyx4tqeFpAVbryw9tlBYYvIwvmIVsE","TWyL_JOE4i4"
"Independence Day (ID4) (1996)","https://m.media-amazon.com/images/M/MV5BMGQwNDNkMmItYWY1Yy00YTZmLWE5OTAtODU0MGZmMzQ1NDdkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg","eBg7uFweFqk"
"Godfather, The (1972)","https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg","sY1S34973zA"
"2001: A Space Odyssey (1968)","https://upload.wikimedia.org/wikipedia/en/1/11/2001_A_Space_Odyssey_%281968%29.png","Z2UWOeBcsJI"
"Willy Wonka and the Chocolate Factory (1971)","https://m.media-amazon.com/images/M/MV5BNzllNzlkNzYtZTEzZi00ODMwLWFlYTctZDE5Mzk0NTM1NmViXkEyXkFqcGc@._V1_.jpg","2cBja3AbahY"
"Monty Python and the Holy Grail (1974)","https://m.media-amazon.com/images/M/MV5BN2IyNTE4YzUtZWU0Mi00MGIwLTgyMmQtMzQ4YzQxYWNlYWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg","urRkGvhXc8w"
"Empire Strikes Back, The (1980)","https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTAFLmt-Hfy6valTAd6sdWx0GcUYd-qS_Bkd4-Tk7_pGOa7DLEd","JNwNXF9Y6kY"
"Princess Bride, The (1987)","https://m.media-amazon.com/images/I/712n+hhjX3L._AC_UF894,1000_QL80_.jpg","O3CIXEAjcc8"
"Raiders of the Lost Ark (1981)","https://upload.wikimedia.org/wikipedia/en/a/a6/Raiders_of_the_Lost_Ark_Theatrical_Poster.jpg","0xQSIdSRlAk"
"Aliens (1986)","https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQi2b3X57GQXOZi-BIpOTTq4EZus2_np7wIMdVrDwJm25l78lDn","oSeQQlaCZgU"
"Return of the Jedi (1983)","https://m.media-amazon.com/images/M/MV5BOWZlMjFiYzgtMTUzNC00Y2IzLTk1NTMtZmNhMTczNTk0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_FMjpg_UX1000_.jpg","p4vIFhk621Q"
"Alien (1979)","https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTLc8C5LHpWCgai_iIDgLtPSLkVJqWVWdXJBE2Moc4VFSsZwhAu","jQ5lPt9edzQ"
"Blues Brothers, The (1980)","https://media.themoviedb.org/t/p/w500/rhYJKOt6UrQq7JQgLyQcSWW5R86.jpg","2HCR4c1zPyk"
"Amadeus (1984)","https://www.abc.es/media/peliculas/000/003/307/amadeus-1.jpg","r7kWQj9FCGY"
"Terminator, The (1984)","https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRguTuOQ7hyYt9b5dS2Vn7AY-U0Lkr9zGPC_D-VyvrlgZQvn8l6","k64P4l2Wmeg"
"Dead Poets Society (1989)","https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRHItRuRsfNRdenajtdJTRFfX-rdEL4RbiJ9SQoF6GePPVP3nfa","ye4KFyWu2do"
"Groundhog Day (1993)","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQPuPXMVnLLeT1hMV1KO39_OCstXgJTTlfb-zAQgJhcM_0Tp9r","GncQtURdcE4"
"Back to the Future (1985)","https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg","qvsgGtivCgs"
"Indiana Jones and the Last Crusade (1989)","https://m.media-amazon.com/images/M/MV5BY2Q0ODg4ZmItNDZiYi00ZWY5LTg2NzctNmYwZjA5OThmNzE1XkEyXkFqcGdeQXVyMjM4MzQ4OTQ@._V1_FMjpg_UX1000_.jpg","sagmdpkWUqc"
"When Harry Met Sally... (1989)","https://m.media-amazon.com/images/M/MV5BMjE0ODEwNjM2NF5BMl5BanBnXkFtZTcwMjU2Mzg3NA@@._V1_.jpg","-E10AcydCuk"
"Star Trek: First Contact (1996)","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGiQYe3qNXxk8WMFt9r83PhHhYo28bbA4cs7lJ7GiMV5qTWdjW","B3NJ49VyjDs"
"Jaws (1975)","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRX0v0U13o86kKRqmqygaxLhNchMXQ6pnqQ4AuhkNi3MCYMuKb","U1fu_sA7XhE"
"Jerry Maguire (1996)","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaZpfitD2ANmMFLOoCOTWetCb8LVeOvYKLXLurK-WCKTPaahrj","KUd3gwaf0KQ"
"Raising Arizona (1987)","https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQFJDUVUlKf_6fWhwSFQS50DXJg3KcNMkKeCATjZnIcuJe3zLYh","OjWu8i6eMZo"
"Men in Black (1997)","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQs1W64LWzVa92wXQE6sRsV6c480kEDpn1XsBZslsZ95yps6Gl","UxUTTrU6PA4"
"Contact (1997)","https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSeUs2dg21PlBWVwrWshAEQ5LO1Y5jtmoI9PFB54Q1HcpRpeuuF","Q399v-pMG30"
"Full Monty, The (1997)","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpmDoYEY_ccocS3xn7y5rrVUv2SWeH3XtOxDjngtJvJmxmnGJX","d6bjW9OwSQc"
"Sense and Sensibility (1995)","https://m.media-amazon.com/images/M/MV5BZTI1YmI0NTAtMjc4MS00MzE5LWJmYTgtOTVhZTA2NDVjYzczXkEyXkFqcGdeQXVyMTI5ODA1OTU0._V1_FMjpg_UX1000_.jpg","2WGq2Rbs1Qg"
"Leaving Las Vegas (1995)","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFQTAUu83MVswkbWLtzgIMi7tFoiVmbq5w4g&s","O4HrGa2-RLc"
"English Patient, The (1996)","https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSWgBsp6lCPh8l54aumO2B5RIGF66NHfEbs2cdllI9xzMJeoI3B","Xk_LRcOFT0c"
"Scream (1996)","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTA9xsWJyQCpzzNFPpVi5VUpxbPnce1ZUaCUoPRtjTCHVxR4EAT","AWm_mkbdpCA"
"Evita (1996)","https://pics.filmaffinity.com/Evita-591838189-large.jpg","DoFvMW9yfi8"
"Liar Liar (1997)","https://m.media-amazon.com/images/M/MV5BMGQ4MTk5YjctNGE5NC00ODk4LWIzOWItNzNhODc0N2JmYzMzXkEyXkFqcGc@._V1_.jpg","C1no75lpOiw"
"Air Force One (1997)","https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQTwzmW68sEcQr5tWZTdfHoo7AtBEsIfHyFJcf6tGIqEnXDYbLM","FItgZOuaPVY"
"L.A. Confidential (1997)","https://pics.filmaffinity.com/L_A_Confidential-817912055-large.jpg","6sOXrY5yV4g"
"Titanic (1997)","https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSLITJy5IWUAnLlg6dtv8Pfgvf2Emoi8vjaqIUD_9tLWiPTbFv6","b0KYvGa_nN8"
"Schindler's List (1993)","https://m.media-amazon.com/images/I/81+H4lZVw+L._AC_UF894,1000_QL80_.jpg","gG22XNhtnoY"
"Conspiracy Theory (1997)","https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQdkTeFYgQ17I7b3DzqRPmUsIEinmLOcbk0kw8dyB26OzIrTnEW","adYGUai7PNc"
"Game, The (1997)","https://pics.filmaffinity.com/The_Game-701562383-large.jpg","nsKdR05ZsGE"
"One Flew Over the Cuckoo's Nest (1975)","https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg","OXrcDonY-B8"
"Mission: Impossible (1996)","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSC5y78KTECoLZGNjDQdPg_vMKOKtCIyvmo6ZjAAFUJFhwT_M__","Ohws8y572KE"
"E.T. the Extra-Terrestrial (1982)","https://m.media-amazon.com/images/M/MV5BMTQ2ODFlMDAtNzdhOC00ZDYzLWE3YTMtNDU4ZGFmZmJmYTczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg","qYAETtIIClk"
"Broken Arrow (1996)","https://m.media-amazon.com/images/I/818TeToyebL._AC_UF894,1000_QL80_.jpg","T-C4rJM-9QU"
"Ransom (1996)","https://m.media-amazon.com/images/M/MV5BZTc0ZjNkYTktMmJmOS00OTJlLTg1NWUtMzQ5ZGMxM2NhY2M0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_FMjpg_UX1000_.jpg","mebIhXK8srA"
"Saint, The (1997)","https://upload.wikimedia.org/wikipedia/en/8/86/The_Saint_1997_poster.jpg","qkscr4gDcP8"
